ECU_ID,ECU_Type,Protocol,CPU_Speed_MHz,Memory_MB,Power_Watts,Redundancy,Message_Frequency_msgs,Unique_Message_IDs,Error_Rate_percent,Response_Time_ms,Operational_State,Network_Topology_Level,Inter_ECU_Dependencies,Software_Version,Manufacturer,Mean_Voltage_V,Max_Voltage_V,Bit_Time_us,Plateau_Time_us,CPU_Load
ECU001,Instrument Cluster,CAN FD,978,64,6.2,No,40,12,0.53,24,Active,1,0,v1.5,Bosch,4.72,4.86,2.77,6.32,47%
ECU002,Infotainment,CAN FD,684,1024,7.5,No,38,10,0.34,14,Active,3,5,v1.1,Harman,4.64,5.12,2.69,6.06,84%
ECU003,Chassis Control,Ethernet,731,256,4.8,Yes,64,18,0.67,8,Standby,1,2,v1.1,Valeo,5.04,5.38,1.79,5.67,0%
ECU004,Body Control,CAN FD,947,256,4.6,Yes,29,8,0.28,16,Standby,1,4,v1.5,Valeo,5.04,5.27,2.73,5.2,0%
ECU005,Braking,CAN FD,439,512,6.8,No,55,8,0.97,9,Standby,1,3,v1.3,Harman,4.9,5.25,1.88,6.1,0%
ECU006,Battery,CAN,648,512,6.7,No,50,18,0.23,12,Standby,2,2,v1.4,Delphi,5.01,5.39,2.99,5.82,0%
ECU007,Infotainment,CAN FD,981,512,5.7,Yes,24,10,0.61,10,Standby,3,5,v1.0,Bosch,5.02,5.36,2.91,5.56,0%
ECU008,Body Control,LIN,400,128,5.5,No,11,5,0.33,16,Standby,3,4,v1.0,Bosch,4.68,5.27,2.42,5.52,0%
ECU009,Body Control,Ethernet,524,256,4.9,Yes,46,20,0.36,24,Active,1,1,v1.2,Denso,4.95,5.18,1.7,6.14,37%
ECU010,Chassis Control,CAN,395,256,3.3,No,20,17,0.33,21,Standby,3,3,v1.4,Valeo,4.72,5.09,2.55,5.03,0%
ECU011,Climate Control,CAN,858,128,6.0,Yes,21,8,0.11,16,Active,3,5,v1.3,Delphi,4.77,4.93,1.87,5.04,83%
ECU012,Advanced Driver Assistance,CAN,666,64,6.2,Yes,10,13,0.84,21,Standby,3,5,v1.5,Denso,4.6,5.23,2.55,5.91,0%
ECU013,Instrument Cluster,CAN,313,256,5.4,No,69,7,0.95,20,Standby,3,4,v1.3,Valeo,4.61,4.74,2.21,5.46,0%
ECU014,Climate Control,CAN FD,554,128,6.6,Yes,48,7,0.56,22,Standby,3,2,v1.2,Denso,4.53,4.98,2.4,4.5,0%
ECU015,Infotainment,CAN,389,64,3.1,Yes,41,3,0.42,16,Standby,2,3,v1.0,Harman,4.63,4.88,2.92,5.93,0%
ECU016,Chassis Control,CAN,421,128,5.6,Yes,11,19,0.52,22,Active,2,0,v1.3,Harman,4.85,5.35,1.85,5.8,59%
ECU017,Infotainment,CAN,780,512,4.8,No,16,20,0.77,9,Standby,3,5,v1.1,Harman,4.54,5.33,2.84,6.17,0%
ECU018,Body Control,Ethernet,560,512,8.0,No,58,15,0.64,12,Standby,1,3,v1.5,Harman,5.01,5.25,1.71,6.15,0%
ECU019,Braking,CAN,873,256,5.3,Yes,13,9,0.32,24,Active,1,4,v1.3,Valeo,5.03,5.21,2.82,4.98,48%
ECU020,Advanced Driver Assistance,LIN,938,64,6.2,No,63,9,0.85,10,Active,3,2,v1.3,Harman,5.09,5.3,2.77,5.44,46%
ECU021,Battery,Ethernet,628,256,7.6,Yes,14,3,0.42,18,Active,3,5,v1.1,Valeo,4.71,4.99,2.05,5.68,37%
ECU022,Braking,LIN,339,512,3.0,Yes,32,12,0.23,8,Standby,1,0,v1.5,Delphi,5.08,5.11,2.71,4.99,0%
ECU023,Body Control,CAN,814,64,5.1,Yes,29,11,0.87,12,Standby,3,2,v1.0,Delphi,4.8,5.35,2.21,6.08,0%
ECU024,Advanced Driver Assistance,CAN FD,503,1024,4.5,No,42,13,0.6,15,Active,2,1,v1.2,Denso,5.01,5.34,2.34,5.5,38%
ECU025,Chassis Control,CAN FD,480,1024,3.4,Yes,61,14,0.79,21,Standby,3,4,v1.2,Bosch,4.85,5.02,2.6,6.48,0%
